number_of_occurence, full_citation
9,Vin.ii.128
9,Vb.389
9,AN.iv.138
9,Snp.327
9,Ja.v.501
9,Dhp-a.i.92
9,Vv-a.99
9,SN.v.187
9,Dhp-a.ii.27
9,MN.i.372
9,Cnd.475
9,Snp.304
9,MN.i.31
9,DN.iii.76
9,MN.i.116
9,SN.v.213
9,SN.iv.337
9,MN.i.449
9,Pv.iv.5#2
9,Dhp.89
9,Dhp-a.ii.163
9,Snp.1104
9,Snp.156
9,Snp-a.303
9,MN.i.414
9,Vism.377
9,Ja.v.273
9,Snp.391
9,Mil.363
9,MN.i.190
9,Ja.v.292
9,MN.i.316
9,Vism.93
9,AN.v.170
9,Ja.vi.285
9,Ja.ii.6
9,Pv.ii.8#3
9,Ja.i.362
9,Vb.367
9,AN.iv.146
9,AN.iii.58
9,Ja.v.81
9,Dhs.644
9,Dhp-a.i.180
9,Vin.ii.239
9,SN.ii.268
9,Vv-a.11
9,AN.i.82
9,MN.iii.33
9,Pv.ii.7#8
9,Vism.338
9,Snp.749
9,AN.iii.35
9,Snp.535
9,Ne.121
9,Ja.iv.37
9,Vin.i.248
9,Vin.iv.316
9,Ja.ii.9
9,MN.iii.3
9,Vin.ii.172
9,Ja.ii.272
9,Ja.i.287
9,AN.iv.86
9,AN.iv.110
9,DN.i.151
9,AN.iii.389
9,MN.i.515
9,Ja.iv.222
9,Ne.114
9,AN.i.232
9,Snp.1090
9,Ja.v.435
9,Snp-a.172
9,Snp.1136
9,Mil.75
9,SN.ii.13
9,Vin.i.217
9,Snp.458
9,DN.ii.243
9,Ne.24
9,Dhp.63
9,Snp.1084
9,Vv-a.174
9,Snp.112
9,AN.v.264
9,SN.iv.360
9,SN.v.269
9,Mnd.14
9,Snp.316
9,DN.ii.254
9,Pts.i.121
9,Snp.1116
9,MN.i.15
9,Snp.51
9,Ja.i.27
9,SN.ii.230
9,Ja.iv.210
9,Vism.374
9,Ja.vi.217
9,Ja.iv.72
9,Vism.346
9,Vv-a.326
9,Vism.96
9,Snp.980
9,Ja.ii.31
9,DN-a.i.135
9,Dhp.108
9,SN.v.384
9,Thag-a.78
9,Dhp.58
9,DN.ii.134
9,Dhp-a.iv.69
9,Mil.268
9,AN.ii.75
9,MN.i.59
9,Mil.194
9,Mil.260
9,Vv-a.152
9,SN.iv.300
9,Pv.ii.2#3
9,Ja.i.205
9,Snp-a.445
9,Snp.455
9,Dhp-a.i.289
9,Ja.iv.69
9,AN.iii.25
9,Dhp-a.i.49
9,Mil.407
9,Vism.358
9,DN-a.i.50
9,Ja.i.502
9,Kp-a.56
9,Vin.i.237
9,Snp.901
9,SN.v.201
9,Dhs-a.260
9,Pts.ii.169
9,Vism.469
9,Dhp-a.i.307
9,Pts.i.80
9,Dhp-a.iii.237
9,Snp-a.140
9,Vv-a.127
9,DN-a.i.136
9,Vin.iv.286
9,Snp.116
9,SN.ii.207
9,AN.iv.55
9,SN.ii.30
9,SN.i.2
9,AN.iv.296
9,Snp.914
9,Snp.1110
9,Ja.i.358
9,Snp.547
9,SN.iii.125
9,SN.ii.124
9,Snp.1132
9,Snp.849
9,DN.iii.136
9,Snp.1016
9,MN.i.185
9,Dhp-a.i.391
9,AN.iii.3
9,Ja.iv.16
9,Pts.i.60
9,Snp-a.128
9,Snp.463
9,Dhp.348
9,Dhp-a.i.90
9,Mil.101
9,Mhvs.46
9,Dhs-a.124
9,Snp.1106
9,DN.ii.260
9,Dhp-a.i.220
9,AN.iii.416
9,DN.i.249
9,Kp-a.144
9,Dhp.337
9,Ja.i.31
9,Dhp-a.iii.118
9,Vin.iv.77
9,Vism.84
9,Vism.339
9,Ja.iv.390
9,Pv.i.5#6
9,Ja.iii.80
9,Snp.313
9,MN.i.21
9,MN.i.342
9,Snp.844
9,Ja.i.154
9,SN.i.118
9,Snp.178
9,Dhs.875
9,Mil.400
9,AN.i.269
9,Vin.ii.176
9,Snp-a.24
9,DN.ii.21
9,Dhs.1156
9,Ja.i.159
9,Snp.296
9,Ja.iv.260
9,DN-a.i.212
9,Ja.ii.63
9,Ja.vi.519
9,Dhs.648
9,Dhs.425
9,Ja.i.103
9,Mhvs.55
9,Dhp-a.i.166
9,Ja.ii.244
9,DN.iii.81
9,Mil.200
9,Pv.ii.4#1
9,Pts.ii.72
9,Dhp.53
9,Ja.vi.268
9,Ja.vi.255
9,Mhvs.49
9,DN.ii.265
9,Ja.iii.172
9,Ja.v.33
9,Vism.190
9,Vv-a.181
9,Snp-a.355
9,Vin.ii.93
9,DN.ii.78
9,AN.ii.208
9,Ja.i.182
9,Ja.iii.314
9,Ja.ii.32
9,Ja.iii.511
9,Pv-a.202
9,Snp.768
9,Snp.359
9,DN-a.i.311
9,Pv-a.205
9,Vism.5
9,Ja.ii.180
9,Snp.766
9,SN.iv.292
9,MN.iii.45
9,DN.ii.306
9,Vv.35#8
9,MN.i.246
9,Vv-a.57
9,Vv-a.230
9,DN.i.236
9,AN.i.126
9,Vb.285
9,Vism.683
9,Pv-a.240
9,Pv.i.6#7
9,AN.v.114
9,AN.iii.111
9,MN.i.180
9,Ja.vi.42
9,Cnd.585
9,Ja.ii.210
9,Ja.ii.108
9,Cnd.342
9,Snp.682
9,Snp.434
9,Snp-a.357
9,Snp.524
9,Dhp.310
9,DN-a.i.249
9,Dhp.54
9,Vv-a.137
9,Pv.i.6#6
9,AN.iii.110
9,Vv-a.291
9,Snp.690
9,Snp.678
9,Dhs.1348
9,Dhs-a.116
9,Vv-a.244
9,SN.iv.74
9,Kp-a.227
9,Snp.457
9,Ne.3
9,Dhs-a.72
9,Snp.1073
9,Dhp.35
9,AN.i.4
9,DN.ii.95
9,Dhs-a.14
9,Snp.589
9,DN.ii.160
9,Dhp.79
9,Pv.i.11#8
9,Pv.i.11#6
9,Ja.ii.107
9,Vv-a.340
9,AN.ii.172
9,Vism.179
9,DN-a.i.161
9,Snp.88
9,Dhp-a.iv.209
9,Snp.1050
9,Snp.390
9,Ja.i.412
9,Ja.vi.532
9,DN.ii.354
9,Snp.910
9,Ja.vi.125
9,AN.iii.12
9,Ja.iv.35
9,Thag-a.70
9,Ja.iv.217
9,Snp-a.27
9,AN.iv.157
9,Vism.224
9,Snp.806
9,Dhs-a.57
9,Dhs-a.47
9,Snp-a.293
9,Vb-a.239
9,Snp-a.111
9,Ja.iii.241
9,Vb-a.196
9,Ja.ii.14
9,Mnd.155
9,Vism.366
9,Ja.i.429
9,Mhvs.45
8,Vv-a.253
8,Dhp.292
8,AN.iii.119
8,SN.v.6
8,Ja.vi.390
8,AN.i.34
8,AN.iv.322
8,MN.iii.167
8,Ja.v.450
8,Sdhp.103
8,Dhp-a.iv.98
8,Ja.iii.255
8,Vv.32#3
8,Ja.v.319
8,Snp.628
8,Pv.ii.2#5
8,SN.ii.103
8,SN.v.43
8,AN.iii.364
8,AN.v.21
8,DN.ii.147
8,SN.v.157
8,AN.iii.353
8,Snp.625
8,SN.i.219
8,SN.i.41
8,AN.iv.246
8,Ja.i.114
8,Ja.vi.391
8,Ja.iv.379
8,Vin.iv.121
8,MN.iii.95
8,Ja.i.494
8,AN.v.266
8,Vin.i.24
8,AN.iv.128
8,Dhp.136
8,Ja.v.414
8,Ja.v.473
8,Ja.v.284
8,Mil.192
8,DN-a.i.80
8,Mhvs.73
8,AN.i.16
8,Vin.iii.37
8,Ja.ii.21
8,Mil.41
8,Ja.ii.243
8,AN.iii.380
8,AN.iii.6
8,Vin.ii.306
8,Snp-a.229
8,AN.iv.343
8,DN.iii.40
8,Dhp.414
8,Snp.102
8,Vin.i.167
8,AN.i.103
8,Ja.v.17
8,Ja.vi.306
8,Dhp.225
8,Ja.vi.17
8,Ja.iv.279
8,DN-a.i.221
8,Vv-a.298
8,Vin.iv.308
8,Snp.42
8,Ja.iii.191
8,Thag-a.252
8,Ja.iii.179
8,SN.iv.207
8,Ja.iii.225
8,Snp.292
8,AN.iv.57
8,Dhs.161
8,Vb.13
8,Mil.266
8,Vin.iii.128
8,Ja.i.396
8,Dhs.299
8,AN.v.181
8,Vin.i.103
8,Mil.401
8,Pv-a.180
8,Ja.vi.201
8,Ja.vi.292
8,Ja.v.10
8,Snp-a.286
8,AN.iii.75
8,AN.iii.368
8,Vin.iii.18
8,Vin.i.111
8,Vv-a.48
8,AN.iii.68
8,AN.iv.193
8,SN.iv.60
8,SN.iv.213
8,Mil.74
8,Dhp-a.i.284
8,Ja.v.462
8,Dhp.43
8,DN.iii.115
8,Vv-a.58
8,Dhp.137
8,Snp.206
8,AN.i.153
8,SN.iii.8
8,Snp.828
8,AN.iii.192
8,MN.i.479
8,Vin.ii.238
8,Ja.ii.436
8,Ja.v.377
8,Snp-a.378
8,Dhp.273
8,Vv-a.289
8,Ne.19
8,Dhp-a.iii.109
8,Dhp-a.i.87
8,Ja.i.206
8,DN-a.i.35
8,DN.iii.163
8,Dhp-a.i.3
8,Vv-a.322
8,Vin.iii.106
8,MN.i.286
8,Ja.vi.307
8,Vv-a.80
8,Dhp.370
8,Snp.1096
8,SN.ii.259
8,Snp.519
8,Ja.iv.31
8,Pv.ii.10#2
8,Mil.136
8,Dhp.240
8,Dhp-a.ii.29
8,Kp-a.26
8,Dhp-a.ii.60
8,Ja.i.418
8,Vin.iii.147
8,Ja.vi.113
8,Snp.785
8,Dhp-a.ii.79
8,SN.i.97
8,Snp.858
8,Snp.132
8,Vb.336
8,Snp.709
8,SN.i.75
8,AN.ii.218
8,AN.ii.121
8,Dhp.164
8,Dhp.104
8,Vin.ii.96
8,SN.ii.283
8,AN.ii.159
8,Vb.375
8,Snp.122
8,Dhp.328
8,Dhs.9
8,Snp.37
8,DN.ii.141
8,SN.v.145
8,SN.i.37
8,Snp.326
8,Cnd.386
8,AN.iv.96
8,Ja.v.170
8,AN.ii.248
8,AN.iii.169
8,Vin.v.172
8,Mhvs.40
8,Ja.v.113
8,Mil.172
8,Pv-a.231
8,Snp.1058
8,Snp.987
8,Ja.iii.181
8,Dhp.85
8,Iti.106
8,Snp.985
8,Kp-a.166
8,Snp.312
8,Ja.i.244
8,DN.i.48
8,Vv-a.117
8,Mil.126
8,Dhp.78
8,Dhp-a.ii.7
8,Dhp-a.iii.176
8,Pv-a.209
8,Ja.iii.285
8,AN.iv.22
8,Mil.362
8,Dhs-a.238
8,Ud.69
8,Snp.820
8,Pv.ii.8#6
8,Ja.iv.111
8,Mnd.484
8,AN.i.267
8,Pp.63
8,SN.i.113
8,Dhs.1306
8,Vb.360
8,Snp.150
8,Dhp-a.i.75
8,DN-a.i.244
8,SN.iii.151
8,MN.i.514
8,Vin.i.293
8,DN.ii.255
8,Vin.ii.249
8,Vin.iv.120
8,Ja.ii.360
8,DN-a.i.226
8,Pv.ii.6#15
8,Snp-a.365
8,Mil.181
8,Snp.421
8,Mil.323
8,SN.i.105
8,Ja.ii.205
8,Ja.vi.4
8,Ja.iii.224
8,DN.iii.85
8,Mnd.12
8,Snp.144
8,AN.i.114
8,AN.ii.145
8,Ja.vi.452
8,Dhp.241
8,Ja.v.426
8,Ja.i.113
8,Dhp.23
8,Pts.i.5
8,Snp.827
8,SN.iii.45
8,SN.iii.163
8,AN.ii.8
8,Snp-a.339
8,Dhp-a.iv.48
8,Pv.iii.3#4
8,Dhp.353
8,Pv-a.179
8,Ja.iii.523
8,DN.i.184
8,AN.iv.456
8,MN.i.379
8,Vv-a.208
8,Ja.v.378
8,Ja.vi.526
8,AN.v.46
8,Ja.iv.247
8,Pv.ii.8#11
8,DN-a.i.122
8,Ja.v.387
8,Thag.72
8,Snp-a.536
8,SN.v.320
8,Ja.i.133
8,MN.i.27
8,Mil.394
8,Vin.iv.218
8,Ja.i.300
8,Ja.v.78
8,AN.ii.84
8,Ja.v.162
8,Mil.7
8,SN.v.301
8,Mil.347
8,SN.iii.80
8,SN.iii.169
8,Pts.i.26
8,Snp.355
8,Vin.i.59
8,AN.v.327
8,SN.i.235
8,Ja.v.384
8,Pv-a.169
8,DN.i.81
8,Snp.624
8,SN.v.225
8,Mil.129
8,Ja.iv.463
8,Snp.392
8,Snp.1049
8,Dhp.87
8,Dhp-a.ii.162
8,Snp.133
8,Snp.177
8,Snp.725
8,Vin.i.172
8,Vin.iv.123
8,Vin.i.303
8,SN.iv.173
8,Vin.ii.272
8,Snp.291
8,Pv-a.273
8,Vin.i.169
8,AN.iii.243
8,Dhs.1099
8,Snp.471
8,AN.v.81
8,Mil.95
8,AN.iii.233
8,Snp.763
8,Vv-a.53
8,Mnd.372
8,Snp.403
8,Snp.82
8,Dhp.92
8,Dhp-a.i.24
8,Thag-a.178
8,Vv-a.164
8,Pv.i.8#6
8,Snp.252
8,Snp.974
8,Mil.108
8,AN.iv.108
8,AN.i.55
8,SN.v.342
8,Dhp.106
8,Snp.685
8,Ja.v.421
8,Vv.64#10
8,Dhp-a.iv.56
8,Snp.823
8,Ja.v.16
8,Dhp.332
8,Snp.896
8,Vism.124
8,Snp.777
8,Ja.ii.166
8,Vin.iv.38
8,MN.i.442
8,Snp-a.423
8,AN.iii.307
8,Vin.iii.93
8,Vin.iv.25
8,Dhs.7
8,MN.i.92
8,Snp.779
8,SN.i.158
8,AN.iii.449
8,AN.iii.432
8,AN.v.124
8,Vism.350
8,Ja.ii.311
8,Dhp-a.iv.182
8,MN.iii.207
8,SN.iv.398
8,Ja.i.337
8,SN.i.205
8,Ja.vi.26
8,AN.ii.130
8,AN.ii.103
8,AN.iii.177
8,AN.i.242
8,MN.i.282
8,Pv.ii.11#2
8,AN.v.207
8,Pv.ii.1#10
8,Snp.1046
8,Vin.i.187
8,SN.v.264
8,DN.iii.71
8,DN.iii.141
8,AN.iv.457
8,Dhs.62
8,SN.ii.168
8,SN.v.255
8,Snp.335
8,Dhp-a.i.88
8,Pts.ii.147
8,Ja.ii.8
8,Dhs.1035
8,Vv-a.16
8,Mnd.308
8,Vv-a.341
8,Mil.166
8,Snp.545
8,Snp.275
8,Vin.i.268
8,Ja.v.217
8,Ja.i.259
8,Ne.10
8,Dhp.24
8,SN.iii.14
8,Iti.65
8,DN-a.i.99
8,Ja.vi.505
8,AN.v.343
8,Vb.2
8,Vin.i.279
8,SN.ii.5
8,AN.ii.243
8,Ja.iv.19
8,SN.i.68
8,Snp.429
8,Snp.701
8,DN.ii.192
8,Snp.414
8,SN.i.50
8,Snp.387
8,AN.iii.451
8,Kp-a.185
8,AN.iii.79
8,SN.i.91
8,Ja.iv.303
8,Snp.941
8,Ja.ii.394
8,Dhp-a.iii.206
8,DN.ii.126
8,AN.i.188
8,Snp.634
8,Ja.v.257
8,Pv.i.10#14
8,Snp.667
8,Dhp-a.iv.104
8,MN.ii.24
8,AN.ii.252
8,Vin.iii.46
8,Vv-a.301
8,Snp.938
8,Dhp.195
8,Snp.552
8,Dhp.230
8,AN.iii.421
8,AN.iv.292
8,Snp.590
8,Vin.i.19
8,Snp.186
8,DN-a.i.146
8,Dhp-a.iv.228
8,SN.ii.273
8,AN.v.145
8,Ja.ii.281
8,Ja.v.48
8,MN.i.1
8,Snp.267
8,MN.i.91
8,MN.i.506
8,SN.v.29
8,Vism.49
8,DN.iii.240
8,Pts.i.83
8,Iti.45
8,Pv.i.6#3
8,Ja.i.401
8,Dhp-a.iv.16
8,Dhp.142
8,Dhp-a.iii.83
8,Ja.iii.409
8,MN.i.260
8,Ja.iv.392
8,Dhp-a.iii.195
8,Pv-a.213
8,Pv.iv.10#8
8,MN.i.296
8,Jtm.210
8,Ja.iii.491
8,Dhs.11
8,Ja.iv.208
8,AN.iv.98
8,Ja.i.378
8,Vv-a.319
8,DN.ii.55
8,Pp.46
8,Ja.i.372
8,DN-a.i.182
8,SN.ii.83
8,AN.iii.334
8,Ja.v.82
8,Dhp.60
8,Iti.49
8,Snp.199
8,Snp.704
8,Vism.449
8,Ja.iv.283
8,Ja.i.334
8,AN.ii.142
8,Ja.i.40
8,Vv-a.83
8,Snp.74
8,Ja.vi.414
8,Snp.867
8,Ja.i.288
8,Vin.ii.26
8,Snp.698
8,AN.iii.5
8,Dhp-a.i.19
8,Ja.v.396
8,MN.i.483
8,Vin.iii.87
8,Vin.iii.68
8,Snp.351
8,Dhp.143
8,AN.ii.250
8,AN.v.166
8,Vism.308
8,Ja.vi.355
8,Vin.iv.108
8,Ja.iv.98
8,SN.ii.227
8,SN.ii.50
8,Sdhp.313
8,Ja.vi.150
8,Snp.356
8,Snp.425
8,Ja.ii.267
8,Dhp.244
8,Pv.ii.9
8,Snp.569
8,Vv-a.27
8,Ne.74
8,Snp.944
8,Kp-a.60
8,Vv-a.30
8,Ja.iii.291
8,Ja.v.153
8,SN.i.177
8,SN.iv.176
8,Ja.iv.91
8,Vism.99
8,SN.iv.306
8,SN.iv.308
8,AN.iv.310
8,AN.iii.113
8,AN.iv.140
8,SN.iv.127
8,Snp.1064
8,Snp.300
8,AN.iii.124
8,AN.iii.276
8,Snp.654
8,AN.ii.13
8,Snp.926
8,AN.i.93
8,Ja.ii.420
8,Snp-a.351
8,Ja.ii.73
8,Snp.1128
8,Snp.424
8,Cnd.416
8,Vism.8
8,Vism.444
8,MN.i.265
8,Ja.iv.233
8,Vin.i.321
8,Snp.256
8,Dhp-a.ii.58
8,AN.iii.377
8,DN-a.i.219
8,Dhp-a.i.317
8,Ja.ii.317
8,Dhs-a.308
8,Dhp-a.iv.85
8,AN.iv.404
8,Vism.125
8,Ja.iii.154
8,Vv-a.187
8,AN.ii.139
8,Vv-a.234
8,Ja.v.195
8,Kp-a.43
8,Ja.vi.416
8,Ja.iv.67
8,Ja.vi.117
8,Vin.ii.269
8,Divy.3
8,Dhp-a.i.184
8,Dhs-a.48
8,AN.v.60
8,Ne.69
8,Mnd.171
8,Mnd.340
8,Vb.412
8,Vin.i.349
8,Snp.1019
8,Vism.229
8,MN.i.295
8,AN.iv.311
8,Ja.iii.525
8,Snp.673
8,Vism.61
8,DN.iii.285
8,Ne.80
8,Snp.509
8,Vb.381
8,Vin.i.208
8,MN.i.508
8,Ne.123
8,AN.v.136
8,DN-a.i.310
8,AN.iv.102
8,Vism.106
8,AN.ii.55
8,Ja.ii.423
8,Dhp-a.ii.96
8,Mil.283
8,AN.ii.168
8,Vism.90
8,Vism.127
8,Ja.v.291
8,Mnd.489
8,Ja.iv.160
8,Ja.i.501
8,Snp.418
8,MN.i.250
8,Ne.12
8,Vism.69
8,AN.iv.79
8,DN.i.83
8,AN.iii.387
8,AN.iv.83
8,Thag-a.148
8,DN.i.248
8,Dhp-a.ii.8
8,Vv-a.308
8,Snp.840
8,Snp-a.377
8,Vin.iv.46
8,Snp.78
8,Vin.iii.107
8,MN.iii.97
8,MN.i.454
8,Snp.1048
8,Vb.390
8,Dhp-a.iii.61
8,Ja.vi.223
8,AN.i.189
8,Vin.ii.184
8,Snp-a.178
8,Vism.447
8,Dhs.653
8,Vin.iii.16
8,Vv.18#7
8,Vism.384
8,Ja.i.360
8,Ne.83
8,Snp-a.343
8,AN.iii.199
8,SN.ii.42
8,DN.ii.281
8,Vism.20
8,Ja.vi.215
8,Snp.1063
8,Vism.145
8,Ja.i.100
8,AN.v.310
8,Vism.495
8,Ja.vi.574
8,DN-a.i.79
8,Ja.ii.15
8,Ja.iv.213
8,DN-a.i.41
8,Kp-a.61
8,Ne.9
8,Dhp.83
8,Vin.iii.36
8,Vin.i.73
8,DN-a.i.88
8,SN.iv.309
8,Ne.160
8,Ne.40
8,DN.iii.150
8,Ja.i.391
8,Dhp-a.ii.20
8,Snp-a.295
8,AN.iv.195
8,Mnd.170
8,AN.iii.388
8,Vv.84#17
8,DN.ii.299
8,DN.ii.187
8,SN.iv.15
8,MN.i.432
8,Snp.842
8,Pp.47
8,Dhs.621
8,Snp.1028
8,Ja.vi.587
8,Sdhp.102
8,AN.v.18
8,Dhp-a.iv.129
8,Ja.iii.441
8,Snp-a.19
8,DN.iii.101
8,Ja.iv.228
8,DN.iii.66
8,Vb.369
8,Ja.ii.26
8,Thag-a.80
8,Dhp-a.iv.176
8,Mil.307
8,Pv-a.115
8,Vism.178
8,Ja.ii.18
8,SN.i.119
8,AN.iii.355
8,Mil.293
8,SN.i.85
8,Ja.v.408
8,Ja.iii.433
8,Vin.iv.283
8,Ja.v.328
8,Vism.85
8,Vv-a.141
8,Vin.i.302
8,Vv-a.120
8,Vv-a.200
8,DN-a.i.283
8,MN.iii.71
8,AN.iii.200
8,AN.iv.336
8,SN.ii.114
8,Ja.iv.232
8,MN.i.125
8,Dhp.205
8,Vin.iv.52
8,Dhp-a.iii.482
8,Vin.v.164
8,Ne.41
8,DN.iii.286
8,Vism.509
8,SN.iv.65
8,Vin.i.195
8,Ja.iv.173
8,Ne.25
8,Vism.461
8,Dhp.342
8,Ja.iv.309
8,Snp-a.4
8,Ja.vi.238
8,Ja.v.438
8,Vism.91
8,Ja.vi.208
8,Pv.i.12#1
8,Ja.v.303
8,Snp.26
8,Snp.416
8,Snp-a.40
8,MN.i.258
8,Snp.298
8,Ja.iv.302
8,Vb-a.343
8,Ud.65
8,Snp.427
8,Snp.198
8,Snp.1009
8,Vism.528
8,Mnd.478
8,Snp.339
8,Vv-a.233
8,Ja.iv.478
8,Ja.iii.347
8,MN.i.11
8,Vism.243
8,Dhs-a.115
8,AN.iv.230
8,AN.iv.101
8,DN.ii.89
8,AN.iv.131
8,Ja.i.426
8,Dhs.147
8,Snp.60
8,AN.iii.365
8,Dhp-a.iii.375
8,Vin.iii.137
8,Ja.iv.404
8,MN.iii.267
8,Vism.431
8,Vism.283
8,MN.i.25
8,Vism.365
8,SN.ii.185
8,SN.iii.122
8,Snp.540
8,Dhp-a.iii.7
8,Vin.i.350
8,AN.i.197
8,Dhp.324
8,Vin.i.210
8,Vin.i.298
8,Snp-a.283
8,Ja.iii.299
8,Ja.vi.341
8,DN-a.i.223
8,Vin.iv.171
8,Vism.389
8,Ja.v.41
8,Ja.v.436
8,Dhp.383
8,Snp.412
8,Snp.930
8,AN.iv.307
8,Vism.206
8,Ja.i.11
8,Mhvs.67
8,Snp.818
8,Ja.vi.75
8,Vv-a.123
8,SN.iv.179
8,Snp.46
8,AN.iv.160
8,Vism.446
8,DN.ii.108
8,Ne.132
8,DN.ii.186
8,Vism.240
8,Mil.301
8,SN.v.304
8,Vb.328
8,Vism.51
8,AN.v.23
8,Ja.v.444
8,DN.ii.139
8,AN.i.183
8,Snp.216
8,Snp.811
8,Dhp.117
8,Snp.943
8,Vin.i.137
8,SN.v.152
8,Ja.ii.65
8,Ja.ii.300
8,Snp.201
8,DN-a.i.42
8,Ja.ii.418
8,Snp.361
8,Snp.92
8,MN.ii.181
8,DN.ii.308
8,Ja.v.480
8,Dhp.40
8,Dhs-a.344
8,Dhp.293
8,Dhs.40
8,Snp.357
8,MN.ii.66
8,Snp.807
8,Vism.115
8,Kp-a.78
8,Ja.i.271
8,Vin.iv.23
8,Dhp-a.ii.261
8,Dhp-a.iv.203
8,Vism.394
8,Kp-a.62
8,Ja.iii.204
8,DN-a.i.269
8,Ja.iii.221
8,Ja.iv.446
8,Ja.ii.109
8,Dhp-a.i.346
8,Dhp-a.ii.109
8,MN.i.192
8,SN.i.8
8,Dhp.44
8,SN.iii.108
8,Vism.454
8,Ja.i.275
8,Ja.vi.371
8,Ja.vi.47
8,DN-a.i.262
8,Dhp.294
8,Vism.295
8,MN.ii.38
8,Vv-a.338
8,Vism.619
8,Snp.413
8,DN.i.201
8,SN.i.174
8,Pv.i.6#4
8,Vv-a.136
8,Dhp-a.iii.441
8,DN.ii.202
8,Vism.499
8,SN.iii.112
8,Vin.i.110
8,Vin.iii.89
8,Cnd.271#iii
8,Ja.ii.395
8,Snp.971
8,Vin.i.215
8,Ja.iv.70
8,SN.iv.47
8,SN.ii.122
8,Vism.7
8,SN.ii.242
8,Dhp-a.iii.291
8,Dhp.208
8,Ja.iv.261
8,SN.i.120
8,Vism.129
8,Ja.iv.414
8,Snp.p.21
8,Vism.463
8,Pv-a.255
8,Pv.ii.9#36
8,Ja.i.503
8,Dhp.283
8,Ja.ii.240
8,Dhp.249
8,AN.i.160
8,Snp.422
8,Dhp.341
8,Ja.iii.279
8,Dhp.282
8,Snp-a.266
8,Vin.iv.34
8,AN.i.59
8,Pv.i.2#3
8,Snp-a.519
8,Dhp-a.i.370
8,Ja.iii.10
8,Snp.803
8,DN.ii.209
8,Vin.i.54
8,Snp-a.272
8,Vv-a.156
8,Ja.vi.116
8,Ja.ii.137
8,Snp.578
8,Mnd.11
8,Vin.iii.129
8,DN.iii.57
8,Ja.vi.491
8,Ja.i.361
8,DN-a.i.174
8,Dhs.1326
8,MN.iii.91
8,AN.iv.170
8,Vin.iii.175
8,AN.iii.179
8,Vism.468
8,Dhp.76
8,Dhp-a.i.295
8,Vv-a.224
8,Mil.218
8,Snp.371
8,Vv-a.347
8,Snp.1034
8,Snp.57
8,Vv-a.262
8,Mil.263
8,Vism.424
8,Ja.vi.12
8,Vb-a.130
8,Ja.i.348
8,Kv.597
8,Kp-a.54
8,SN.i.17
8,Kp-a.21
8,Ja.vi.527
8,Ja.i.500
8,Pts.i.174
8,Kp-a.111
8,Snp-a.174
8,Snp.397
8,Mil.404
8,Ja.i.432
8,Ja.iii.368
8,Kv.207
8,Snp-a.66
8,Mhvs.80
8,Ja.v.461
8,Vin.i.228
8,Snp-a.577
8,Ja.ii.27
8,Tikp.61
7,Ja.vi.552
7,Dhp-a.iii.214
7,Dhp-a.iii.452
7,DN.ii.244
7,Ud.5
7,AN.ii.58
7,Dhp-a.i.211
7,Dhp-a.i.375
7,Snp.106
7,AN.iii.107
7,Snp.87
7,Snp.197
7,Dhp-a.i.9
7,Ja.v.98
7,Ja.v.510
7,Snp.274
7,DN.i.202
7,Dhp.404
7,Snp.376
7,SN.i.58
7,AN.iv.139
7,Snp.875
7,Dhp.401
7,SN.i.237
7,Vin.iii.80
7,Pv.iii.5#5
7,Vin.i.229
7,Ja.i.285
7,Snp-a.481
7,Vin.iv.109
7,Vin.i.33
7,Ja.iv.211
7,DN.ii.339
7,Ja.v.484
7,Mhvs.87
7,Ja.v.324
7,Ja.iv.154
7,Dhp-a.i.170
7,AN.ii.79
7,Ja.ii.200
7,Dhp-a.ii.45
7,AN.v.92
7,Ne.87
7,Ja.iii.54
7,Ja.v.488
7,SN.iv.324
7,Sdhp.208
7,Vin.iv.110
7,DN.iii.6
7,AN.i.54
7,Snp-a.21
7,Ja.v.213
7,DN-a.i.113
7,Dhp-a.i.38
7,Dhp-a.iv.52
7,Ja.iv.343
7,MN.i.122
7,SN.iv.105
7,Pv-a.197
7,Snp.1027
7,Ja.iv.387
7,Ja.v.509
7,Dhp.227
7,SN.i.83
7,Ja.iii.274
7,Dhp-a.i.105
7,Snp.956
7,Iti.69
7,Vv-a.135
7,AN.iv.305
7,Vb.1
7,Vb.228
7,Dhp-a.iv.90
7,Snp.837
7,SN.iv.7
7,Ja.vi.566
7,Ja.ii.336
7,Ja.v.326
7,Dhs-a.334
7,Dhp-a.iv.100
7,Ja.ii.403
7,AN.v.87
7,Ja.v.229
7,Snp-a.314
7,Ja.i.410
7,MN.i.173
7,AN.iii.242
7,SN.iv.36
7,Divy.37
7,Mnd.163
7,AN.v.324
7,DN.ii.291
7,Dhs-a.13
7,Snp.459
7,Dhp-a.i.57
7,Ja.v.251
7,AN.v.193
7,Snp.55
7,Snp.213
7,Dhp-a.iii.352
7,Ja.v.252
7,Mil.209
7,Snp.588
7,DN.iii.185
7,SN.v.129
7,AN.iii.82
7,SN.ii.120
7,Snp.1107
7,MN.i.169
7,Snp.227
7,Pv.ii.7#5
7,Mhvs.84
7,Cnd.485
7,Kp-a.187
7,Pts.ii.193
7,Vin.ii.315
7,Vism.21
7,Dhp-a.ii.28
7,Dhp-a.i.95
7,SN.i.234
7,AN.ii.69
7,Snp.299
