number_of_occurence, full_citation
29,Pv-a.92
29,Mil.178
29,MN.i.80
29,SN.i.210
29,DN.i.105
29,Vin.i.202
29,Ne.27
29,Vv-a.63
29,Mil.351
29,AN.ii.33
28,Ja.v.155
28,Pv-a.280
28,SN.iii.83
28,AN.ii.34
28,Pv-a.89
28,Ja.iv.138
28,DN.i.137
28,Vin.ii.151
28,DN.iii.219
28,Pv-a.215
28,Mil.122
28,Pv-a.65
28,DN.i.62
28,Ja.ii.133
28,Pv-a.70
28,DN.i.73
28,Pp.35
28,Pv-a.124
28,MN.i.10
28,Mil.352
28,Mil.342
28,Pv-a.122
28,Pv-a.136
28,Vin.i.48
28,SN.i.7
27,Pv-a.251
27,Vin.iii.47
27,DN-a.i.270
27,Ja.i.291
27,Pv-a.121
27,Vv-a.78
27,Ja.ii.105
27,DN-a.i.256
27,SN.i.117
27,Pv-a.59
27,Pv-a.133
27,DN.i.18
27,MN.i.364
27,Mil.197
27,Ja.i.60
27,SN.i.188
27,DN.iii.254
27,Pp.30
27,Vin.ii.213
27,Vb.352
27,Ja.i.168
27,Pp.32
27,Mil.11
27,Vv-a.69
27,Pv-a.265
27,Pv-a.174
26,Vin.i.246
26,Mil.40
26,SN.i.181
26,Vin.i.192
26,Pv-a.88
26,Pv-a.283
26,Ja.iv.219
26,MN.i.86
26,Ja.i.221
26,Ja.i.293
26,Ja.i.292
26,Ja.iv.142
26,Ja.vi.432
26,Vin.ii.150
26,MN.i.87
26,DN.i.52
26,Ja.i.263
26,Pv-a.211
26,Pv-a.216
26,Vin.i.83
26,AN.i.162
26,DN.i.96
26,Pp.36
26,MN.i.386
26,Ja.ii.112
26,Ja.i.158
26,Iti.99
26,Ja.i.228
26,AN.ii.203
26,Vin.iv.265
26,Dhs.1136
26,SN.i.43
26,DN.i.116
26,SN.i.123
26,Vv-a.147
26,DN.iii.234
26,Ja.i.57
26,Pv-a.44
26,Dhs.585
25,Vin.ii.154
25,Ja.i.71
25,Mil.343
25,Mil.118
25,Vv-a.65
25,SN.ii.29
25,Mhvs.26
25,Ja.i.212
25,DN.iii.217
25,Ja.i.83
25,Mhvs.38
25,SN.i.69
25,Ja.v.434
25,Vin.i.287
25,AN.i.181
25,Mil.253
25,Vin.ii.112
25,Ja.i.88
25,SN.iv.71
25,Pv-a.195
25,Vv-a.76
25,Vv-a.66
25,DN.i.3
25,Vin.ii.209
25,Ja.vi.364
25,Mhvs.2
25,SN.i.134
25,Pp.33
25,Ja.i.196
25,Vin.i.1
25,SN.iv.104
25,DN.i.87
25,Vb.357
25,Pv-a.110
25,Ja.i.81
25,DN.ii.17
25,AN.i.107
25,Vin.i.12
25,DN.i.251
25,AN.i.95
25,Ja.vi.539
25,Ja.ii.3
25,SN.i.193
25,Mil.117
25,Ja.ii.103
25,Mil.19
25,MN.i.88
24,Mil.152
24,Pv-a.272
24,Ja.vi.336
24,SN.i.185
24,Pv-a.241
24,Vv-a.75
24,AN.i.137
24,Ja.iv.139
24,Iti.90
24,Vin.ii.107
24,SN.i.212
24,Mil.102
24,Ja.i.254
24,Mil.20
24,DN-a.i.98
24,DN-a.i.85
24,Vin.i.96
24,SN.i.121
24,SN.ii.17
24,SN.iv.168
24,Iti.98
24,Iti.84
24,Pv-a.79
24,DN.iii.229
24,SN.i.122
24,AN.ii.41
24,DN.iii.220
24,Pp.16
24,SN.i.204
24,Pv-a.279
24,Pp.24
24,Snp.p.15
24,DN.i.114
24,Ja.vi.536
24,Vism.258
24,DN.i.45
24,AN.ii.85
24,Ja.i.47
24,Mil.418
24,Mil.25
24,Vin.ii.122
24,DN.iii.244
24,DN-a.i.97
24,AN.ii.87
24,Ja.i.267
24,Vin.ii.221
24,Ja.v.45
24,Vv-a.188
24,Mil.297
24,SN.i.172
24,Ja.v.425
24,MN.i.58
23,Ja.vi.518
23,Ja.v.203
23,Mil.8
23,Ja.iv.371
23,Ja.i.148
23,SN.iv.290
23,Mil.304
23,Vin.i.49
23,AN.ii.211
23,Ja.i.73
23,Ja.i.87
23,SN.i.78
23,AN.i.145
23,Mil.346
23,DN.i.84
23,Ja.v.406
23,Ja.vi.366
23,Iti.36
23,Iti.114
23,AN.ii.10
23,Ja.i.92
23,Ne.50
23,Vin.ii.115
23,SN.i.214
23,AN.i.62
23,DN.iii.190
23,Ja.i.163
23,Mil.289
23,Dhp-a.iii.175
23,SN.i.103
23,Ja.i.199
23,Pv-a.83
23,SN.i.124
23,Vv-a.13
23,Vin.i.209
23,Ja.iii.276
23,Mil.276
23,SN.i.186
23,DN.i.49
23,DN.iii.212
23,Mil.16
23,DN.iii.226
23,DN.i.180
23,DN.i.103
23,Pv-a.176
23,MN.i.77
23,Ja.i.67
23,AN.i.261
23,Ja.v.69
23,Vin.ii.137
23,DN.i.50
23,DN.i.47
23,Vism.500
23,DN.iii.243
23,Vin.ii.153
23,Ja.ii.406
23,Pv-a.119
23,Ne.29
23,SN.i.207
23,Dhs.16
22,Ja.ii.416
22,DN-a.i.247
22,DN.i.230
22,AN.i.241
22,Vin.i.17
22,DN.i.85
22,Vin.i.36
22,DN-a.i.93
22,Vv-a.77
22,Ja.vi.529
22,Ja.v.197
22,AN.i.141
22,Pv-a.221
22,DN.i.161
22,Mil.413
22,Dhp-a.ii.87
22,SN.i.12
22,Vin.i.18
22,Iti.82
22,Iti.94
22,Ja.v.198
22,AN.i.132
22,Ja.i.194
22,Pv-a.155
22,Ja.v.417
22,Vin.i.255
22,Ja.i.218
22,DN.iii.232
22,Pv-a.181
22,Pv-a.260
22,Ja.iii.395
22,Pp.27
22,Iti.86
22,Mil.13
22,MN.i.130
22,SN.i.53
22,DN.i.78
22,DN.i.46
22,Ja.iii.541
22,Vin.ii.162
22,SN.i.143
22,DN.i.77
22,Vin.i.34
22,Pv-a.144
22,Vv-a.111
22,Ja.i.2
22,Vin.ii.194
22,Mil.15
22,SN.i.48
22,Vb.350
22,DN.iii.245
22,AN.ii.117
22,Ja.v.202
22,Pv-a.185
22,SN.ii.231
22,Ja.i.164
22,Vin.i.45
22,Ja.i.187
22,Mil.4
21,Mil.302
21,DN.ii.16
21,DN.i.134
21,Ja.iii.126
21,DN.iii.224
21,AN.ii.140
21,Iti.43
21,Ja.vi.367
21,Ja.i.178
21,Ja.vi.486
21,Ja.vi.535
21,DN.iii.227
21,SN.i.99
21,Ja.i.233
21,DN.ii.154
21,Vin.ii.170
21,Ja.iii.278
21,Vin.iv.35
21,DN.i.37
21,AN.ii.210
21,Pv-a.168
21,DN.i.222
21,Mil.336
21,MN.i.245
21,Vin.ii.188
21,Ja.v.267
21,Ne.15
21,Pv-a.48
21,Ja.i.86
21,Mil.282
21,Ja.i.82
21,Vv-a.67
21,Vin.iv.7
21,DN.i.95
21,SN.iv.158
21,Pv-a.100
21,SN.i.236
21,AN.i.147
21,SN.v.421
21,Pv-a.69
21,AN.ii.147
21,Ja.iii.53
21,Mhvs.13
21,Ja.iv.4
21,SN.iv.195
21,MN.i.82
21,DN.i.143
21,Ja.i.393
21,Mil.234
21,Ja.v.156
21,Vv-a.36
21,SN.i.9
21,SN.iv.194
21,Pp.41
21,Pv-a.163
21,Ja.i.68
21,AN.i.68
21,AN.ii.51
21,SN.i.154
21,Ja.i.55
21,Ja.i.94
21,Vv-a.167
21,Vism.31
21,SN.i.209
21,Ja.vi.530
21,Pv-a.105
21,Ja.i.18
21,Mil.112
21,Ja.v.46
21,SN.i.217
21,SN.iii.190
21,DN.iii.253
21,Vv-a.173
21,Ja.i.336
21,Vin.i.50
21,SN.ii.206
21,Ja.i.243
21,Mil.105
21,Vin.iv.6
21,Mhvs.31
21,Vism.259
20,AN.iii.38
20,Mil.338
20,SN.i.149
20,Mil.361
20,Mil.277
20,Mil.67
20,Ja.v.433
20,DN-a.i.86
20,Ja.iv.494
20,SN.i.38
20,AN.ii.52
20,Ja.i.56
20,SN.iii.156
20,Pv-a.199
20,AN.i.70
20,Mil.47
20,DN.i.101
20,Mil.79
20,Ja.vi.218
20,Ja.ii.2
20,Mhvs.16
20,Ja.v.70
20,SN.i.76
20,Iti.76
20,Vb.353
20,SN.i.138
20,Pv-a.178
20,Ja.ii.353
20,Snp.p.106
20,Ja.i.66
20,Vv-a.213
20,SN.i.187
20,Pv-a.254
20,AN.i.50
20,Kp-a.49
20,MN.iii.92
20,Ja.ii.129
20,AN.i.47
20,AN.ii.122
20,Ja.i.119
20,Pp.17
20,Pv-a.129
20,SN.i.126
20,AN.ii.56
20,Pv-a.95
20,Ja.ii.439
20,DN.i.79
20,Pv-a.147
20,Vv-a.157
20,AN.ii.185
20,AN.i.152
20,DN.iii.281
20,Iti.107
20,Mil.22
20,Pv-a.109
20,Mil.90
20,Vin.i.190
20,DN-a.i.78
20,Vv-a.32
20,Vin.ii.177
20,SN.ii.65
20,AN.ii.6
20,Pp.14
20,Vv-a.138
20,Vin.ii.267
20,Ja.iii.82
20,MN.i.334
20,DN.iii.111
20,SN.i.115
20,SN.i.16
20,DN.i.61
20,DN.iii.214
20,Vin.iii.112
20,DN.iii.49
20,Vin.iii.121
20,Dhs.1003
20,Snp.235
20,SN.v.92
20,SN.i.61
20,SN.i.196
20,Ja.iv.30
20,Ja.i.273
20,DN.iii.44
20,Ne.8
20,AN.iii.54
20,Iti.71
20,Mil.370
20,SN.i.192
20,Vin.ii.113
20,Vism.314
20,Vism.251
20,SN.i.13
20,Vv-a.162
20,DN.iii.239
20,Ja.iv.380
20,Ja.vi.269
20,Mhvs.24
20,Mil.9
20,Mil.288
20,Vism.415
20,Cnd.235
20,Ja.i.180
19,Vin.ii.114
19,Mil.250
19,DN-a.i.84
19,Pv-a.57
19,AN.ii.17
19,Iti.88
19,DN.ii.15
19,DN.i.141
19,Ja.iii.393
19,SN.i.166
19,Snp.694
19,DN.ii.19
19,Ne.4
19,DN.ii.266
19,Ja.iii.22
19,Mil.28
19,DN.ii.127
19,Ja.i.338
19,SN.ii.99
19,Ja.v.266
19,Iti.75
19,Ja.iii.189
19,SN.i.23
19,Ja.i.419
19,Ja.i.12
19,DN-a.i.87
19,Ja.i.90
19,Pv-a.148
19,Ja.i.5
19,DN.i.56
19,SN.i.101
19,DN.iii.135
19,Snp.p.126
19,Dhp-a.i.13
19,Mil.330
19,DN.i.213
19,Vin.ii.134
19,Ja.i.153
19,Ja.vi.365
19,DN.i.93
19,Vin.ii.256
19,Vin.ii.237
19,SN.iii.86
19,DN.iii.275
19,SN.iii.141
19,AN.ii.120
19,AN.ii.73
19,SN.i.34
19,Ja.iii.394
19,Pv-a.219
19,Ja.vi.368
19,Dhs.1060
19,AN.v.194
19,Ja.v.330
19,Ja.v.268
19,Mil.285
